expt,treatment1,treatment2,rep,DP,conc,DPn,bin
cilantro,25,100,3,DP 20,0,20,inulin
cilantro,50,100,2,DP 20,0,20,inulin
cilantro,50,100,3,DP 20,0,20,inulin
cilantro,100,100,1,DP 20,0,20,inulin
cilantro,100,100,2,DP 20,0,20,inulin
cilantro,0,0,2,DP 23,0,23,inulin
cilantro,0,0,3,DP 23,0,23,inulin
cilantro,0,100,1,DP 23,0.118751117,23,inulin
cilantro,0,100,3,DP 23,0.110485869,23,inulin
cilantro,0.1,100,1,DP 23,0.106017218,23,inulin
cilantro,0.1,100,3,DP 23,0.096139791,23,inulin
cilantro,1,100,1,DP 23,0.089767751,23,inulin
cilantro,1,100,3,DP 23,0.09356146,23,inulin
cilantro,10,100,2,DP 23,0.01258375,23,inulin
cilantro,10,100,3,DP 23,0.028606444,23,inulin
cilantro,25,100,1,DP 23,0,23,inulin
cilantro,25,100,3,DP 23,0,23,inulin
cilantro,50,100,2,DP 23,0,23,inulin
cilantro,50,100,3,DP 23,0,23,inulin
cilantro,100,100,1,DP 23,0,23,inulin
cilantro,100,100,2,DP 23,0,23,inulin
cilantro,0,0,2,DP 24,0,24,inulin
cilantro,0,0,3,DP 24,0,24,inulin
cilantro,0,100,1,DP 24,0.111890275,24,inulin
cilantro,0,100,3,DP 24,0.103654528,24,inulin
cilantro,0.1,100,1,DP 24,0.102652418,24,inulin
cilantro,0.1,100,3,DP 24,0.089575653,24,inulin
cilantro,1,100,1,DP 24,0.088889542,24,inulin
cilantro,1,100,3,DP 24,0.092022531,24,inulin
cilantro,10,100,2,DP 24,0,24,inulin
cilantro,10,100,3,DP 24,0.026459022,24,inulin
cilantro,25,100,1,DP 24,0,24,inulin
cilantro,25,100,3,DP 24,0,24,inulin
cilantro,50,100,2,DP 24,0,24,inulin
cilantro,50,100,3,DP 24,0,24,inulin
cilantro,100,100,1,DP 24,0,24,inulin
cilantro,100,100,2,DP 24,0,24,inulin
cilantro,0,0,2,DP 26,0,26,inulin
cilantro,0,0,3,DP 26,0,26,inulin
cilantro,0,100,1,DP 26,0.117334151,26,inulin
cilantro,0,100,3,DP 26,0.09412835,26,inulin
cilantro,0.1,100,1,DP 26,0.093956658,26,inulin
cilantro,0.1,100,3,DP 26,0.093873643,26,inulin
cilantro,1,100,1,DP 26,0.0951927,26,inulin
cilantro,1,100,3,DP 26,0.097158306,26,inulin
cilantro,10,100,2,DP 26,0.010293825,26,inulin
cilantro,10,100,3,DP 26,0.028472457,26,inulin
cilantro,25,100,1,DP 26,0,26,inulin
cilantro,25,100,3,DP 26,0,26,inulin
cilantro,50,100,2,DP 26,0,26,inulin
cilantro,50,100,3,DP 26,0,26,inulin
cilantro,100,100,1,DP 26,0,26,inulin
cilantro,100,100,2,DP 26,0,26,inulin
cilantro,0,0,2,DP 27,0,27,inulin
cilantro,0,0,3,DP 27,0,27,inulin
cilantro,0,100,1,DP 27,0.099223905,27,inulin
cilantro,0,100,3,DP 27,0.09382477,27,inulin
cilantro,0.1,100,1,DP 27,0.08922831,27,inulin
cilantro,0.1,100,3,DP 27,0.0827248,27,inulin
cilantro,1,100,1,DP 27,0.07733781,27,inulin
cilantro,1,100,3,DP 27,0.08657237,27,inulin
cilantro,10,100,2,DP 27,0.017624732,27,inulin
cilantro,10,100,3,DP 27,0.018171107,27,inulin
cilantro,25,100,1,DP 27,0,27,inulin
cilantro,25,100,3,DP 27,0,27,inulin
cilantro,50,100,2,DP 27,0,27,inulin
cilantro,50,100,3,DP 27,0,27,inulin
cilantro,100,100,1,DP 27,0,27,inulin
cilantro,100,100,2,DP 27,0,27,inulin
cilantro,0,0,2,DP 28,0,28,inulin
cilantro,0,0,3,DP 28,0,28,inulin
cilantro,0,100,1,DP 28,0.097953845,28,inulin
cilantro,0,100,3,DP 28,0.091767995,28,inulin
cilantro,0.1,100,1,DP 28,0.100605724,28,inulin
cilantro,0.1,100,3,DP 28,0.080273898,28,inulin
cilantro,1,100,1,DP 28,0.087768732,28,inulin
cilantro,1,100,3,DP 28,0.088496337,28,inulin
cilantro,10,100,2,DP 28,0.017852484,28,inulin
cilantro,10,100,3,DP 28,0.027455192,28,inulin
cilantro,25,100,1,DP 28,0,28,inulin
cilantro,25,100,3,DP 28,0,28,inulin
cilantro,50,100,2,DP 28,0,28,inulin
cilantro,50,100,3,DP 28,0,28,inulin
cilantro,100,100,1,DP 28,0,28,inulin
cilantro,100,100,2,DP 28,0,28,inulin
cilantro,0,0,2,DP 31,0,31,inulin
cilantro,0,0,3,DP 31,0,31,inulin
cilantro,0,100,1,DP 31,0.081836041,31,inulin
cilantro,0,100,3,DP 31,0.076574252,31,inulin
cilantro,0.1,100,1,DP 31,0.07719391,31,inulin
cilantro,0.1,100,3,DP 31,0.067929348,31,inulin
cilantro,1,100,1,DP 31,0.067680711,31,inulin
cilantro,1,100,3,DP 31,0.070895292,31,inulin
cilantro,10,100,2,DP 31,0,31,inulin
cilantro,10,100,3,DP 31,0.020944927,31,inulin
cilantro,25,100,1,DP 31,0,31,inulin
cilantro,25,100,3,DP 31,0,31,inulin
cilantro,50,100,2,DP 31,0,31,inulin
cilantro,50,100,3,DP 31,0,31,inulin
cilantro,100,100,1,DP 31,0,31,inulin
cilantro,100,100,2,DP 31,0,31,inulin
cilantro,0,0,2,DP 32,0,32,inulin
cilantro,0,0,3,DP 32,0,32,inulin
