GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K01961,7638,11422,17562,8602,12306,8142,9682,14622,9312,13046,11876,8416,17082,14286,15752,11992,12986,12438,8350,8040,13184,7540,8332,7448
KO:K01962,720,563,1766,641,497,590,672,930,1188,1727,663,856,772,828,1160,269,294,424,501,452,1147,472,438,668
KO:K01963,1255,1266,4451,911,1931,916,1238,1117,1780,1965,1305,1087,1533,1427,3447,568,1157,988,773,722,2748,683,777,898
KO:K01966,8324,12119,14268,9876,15957,10004,9574,10386,5617,13357,8605,6079,18003,14650,10257,16117,19059,16475,12603,7277,10045,12720,7599,7085
KO:K01968,1,6,37,10,8,21,3,6,31,15,9,20,8,7,22,17,56,30,2,6,15,5,9,14
KO:K01969,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
KO:K01971,2,24,11,7,16,17,8,54,6,10,27,32,14,99,43,21,73,112,3,60,23,19,57,97
KO:K01972,4477,4968,5455,3967,4381,4355,5429,7302,4679,6486,4395,5658,6858,6255,4059,3591,4465,5076,4377,3330,4500,4695,3330,4166
KO:K01974,32,3,63,4,2,29,69,10,73,10,0,90,158,2,74,3,0,29,43,2,69,6,0,24
KO:K01975,296,253,23,211,432,233,374,244,44,404,231,228,339,294,49,205,382,283,515,215,45,612,214,149
KO:K01976,3,0,1,1,0,1,22,3,3,2,4,2,10,1,0,1,0,1,2,1,1,1,2,2
KO:K01989,1090,1405,2957,834,1187,1029,1173,1923,1816,1538,1284,1563,1463,1252,1952,588,1271,955,883,698,1835,854,736,835
